ts_datetime,ts_frc,ts_wattemp,ts_cond,hh_datetime,hh_frc
2019-08-06T09:57:00,0.58,27.4,292,2019-08-07T01:51:00,0.48
2019-08-06T10:25:00,0.67,27.8,291,2019-08-07T02:46:00,0.44
2019-08-06T10:36:00,0.6,27.8,291,2019-08-07T02:54:00,0.09
2019-08-07T02:21:00,0.63,28.1,317,2019-08-07T08:59:00,0.41
2019-08-07T02:25:00,0.08,27,320.67,2019-08-07T07:33:00,0.05
2019-08-07T02:30:00,0.47,27.4,309,2019-08-07T09:07:00,0.33
2019-08-07T02:41:00,1.01,27.9,314,2019-08-07T09:19:00,0.9
2019-08-07T02:49:00,0.19,27.7,320.67,2019-08-07T07:52:00,0.08
2019-08-07T02:50:00,0.98,27.7,308,2019-08-07T09:31:00,0.83
2019-08-07T03:03:00,0.93,27.8,308,2019-08-07T09:44:00,0.52
2019-08-07T03:10:00,0.11,27.6,320.67,2019-08-07T08:24:00,0.05
2019-08-07T03:11:00,1.06,28,306,2019-08-07T09:51:00,0.84
2019-08-07T03:22:00,0.04,27.6,320.67,2019-08-07T08:37:00,0.01
2019-08-07T09:31:00,0.84,27.9,345,2019-08-08T01:52:00,0.31
2019-08-07T09:44:00,0.82,27.9,346,2019-08-08T02:04:00,0.19
2019-08-07T09:53:00,0.84,28,350,2019-08-08T02:13:00,0.14
2019-08-07T10:07:00,0.78,28,345,2019-08-08T02:27:00,0.01
2019-08-07T10:19:00,0.82,28.2,348,2019-08-08T02:40:00,0.39
2019-08-07T10:33:00,0.82,28,345,2019-08-08T02:55:00,0.17
2019-08-08T02:03:00,1.55,27.2,323,2019-08-08T08:39:00,0.37
2019-08-08T02:13:00,1.45,28,309,2019-08-08T08:47:00,1.27
2019-08-08T02:28:00,0.06,27.3,320.67,2019-08-08T08:07:00,0.01
2019-08-08T02:29:00,1.7,27.3,309,2019-08-08T08:53:00,1.35
2019-08-08T02:43:00,1.54,27,307,2019-08-08T08:57:00,1.2
2019-08-08T02:46:00,0.02,27.2,320.67,2019-08-08T08:19:00,0.01
2019-08-08T02:54:00,1.45,27.2,307,2019-08-08T09:13:00,1.29
2019-08-08T03:09:00,1.54,27.6,310,2019-08-08T09:28:00,1.38
2019-08-08T03:23:00,0.13,27.6,320.67,2019-08-08T08:52:00,0.11
2019-08-08T03:33:00,0.14,27.8,320.67,2019-08-08T09:02:00,0.03
2019-08-10T02:52:00,0.28,28,489,2019-08-10T09:39:00,0.01
2019-08-10T02:59:00,0.38,28,473,2019-08-10T09:45:00,0.02
2019-08-10T03:09:00,0.25,27.8,473,2019-08-10T09:52:00,0.04
2019-08-10T03:34:00,0.53,28.3,478,2019-08-10T10:04:00,0.04
2019-08-10T03:43:00,0.12,28.5,478,2019-08-10T10:11:00,0.11
2019-08-10T03:57:00,0.18,28,474,2019-08-10T10:23:00,0.11
2019-08-10T09:03:00,0.83,28.3,311,2019-08-11T01:13:00,0.27
2019-08-10T09:12:00,0.72,28.3,306,2019-08-11T01:22:00,0.2
2019-08-10T09:23:00,0.79,28.4,305,2019-08-11T01:29:00,0.13
2019-08-10T09:32:00,0.63,28.1,302,2019-08-11T01:40:00,0.18
2019-08-10T09:47:00,0.37,28.1,304,2019-08-11T01:52:00,0.22
2019-08-10T09:53:00,0.36,28.4,320.67,2019-08-11T02:07:00,0.03
2019-08-10T10:09:00,0.32,28.1,320.67,2019-08-11T02:17:00,0.06
2019-08-10T10:18:00,0.29,28.1,320.67,2019-08-11T02:27:00,0.05
2019-08-10T10:29:00,0.21,28,320.67,2019-08-11T02:37:00,0.08
2019-08-10T10:40:00,0.26,27.9,320.67,2019-08-11T02:45:00,0.03
2019-08-11T02:09:00,0.94,28,292,2019-08-11T08:35:00,0.17
2019-08-11T02:18:00,0.93,28.2,292,2019-08-11T08:41:00,0.33
2019-08-11T02:32:00,0.95,27.9,291,2019-08-11T08:54:00,0.04
2019-08-11T02:42:00,0.91,27.8,291,2019-08-11T09:06:00,0.03
2019-08-11T03:01:00,0.82,28.1,291,2019-08-11T09:21:00,0.21
2019-08-13T02:42:00,0.52,28.1,306,2019-08-13T08:48:00,0.29
2019-08-13T02:55:00,0.19,27.8,472,2019-08-13T08:56:00,0.08
2019-08-13T03:18:00,0.48,28,308,2019-08-13T09:00:00,0.22
2019-08-13T03:38:00,0.23,27.3,410,2019-08-13T09:16:00,0.21
2019-08-13T03:58:00,0.12,28,462,2019-08-13T09:23:00,0.09
2019-08-13T04:00:00,0.57,28.2,382,2019-08-13T09:27:00,0.14
2019-08-13T04:11:00,0.15,28.4,465,2019-08-13T09:35:00,0.04
2019-08-13T04:13:00,0.52,26.8,350,2019-08-13T09:42:00,0.02
