ts_datetime,ts_frc,ts_wattemp,ts_cond,hh_datetime,hh_frc
2021-09-05T12:48:00,1,29.6,74,2021-09-05T15:12:00,0.6
2021-09-05T12:50:00,1,29.9,75,2021-09-05T15:27:00,0.4
2021-09-05T12:54:00,1,30,73,2021-09-05T15:43:00,0.2
2021-09-06T09:11:00,1,26,77,2021-09-06T11:31:00,0.6
2021-09-06T09:17:00,1,26.1,75,2021-09-06T11:44:00,0.4
2021-09-06T09:23:00,1,26.3,75,2021-09-06T11:50:00,0.4
2021-09-06T09:27:00,1,26.3,74,2021-09-06T12:06:00,0.3
2021-09-06T09:30:00,1,26.6,76,2021-09-06T12:30:00,0.3
2021-09-06T12:33:00,1,29,77,2021-09-06T14:31:00,0.8
2021-09-06T12:39:00,1,29.2,76,2021-09-06T14:44:00,0.5
2021-09-06T12:47:00,1,29.5,74,2021-09-06T15:00:00,0.4
2021-09-06T12:53:00,1,30.1,76,2021-09-06T15:34:00,0.4
2021-09-06T13:00:00,1,28.6,75,2021-09-06T16:00:00,0.3
2021-09-07T09:02:00,1,29,63,2021-09-07T12:33:00,0.7
2021-09-07T09:16:00,1,30.2,76,2021-09-07T12:40:00,0.7
2021-09-07T09:22:00,1,30.6,76,2021-09-07T12:48:00,0.5
2021-09-07T09:27:00,1,32.4,73,2021-09-07T12:55:00,0.4
2021-09-07T09:30:00,1,29.3,81,2021-09-07T13:00:00,0.4
2021-09-07T12:00:00,1,32,74,2021-09-07T14:31:00,0.7
2021-09-07T12:08:00,1,31.5,78,2021-09-07T14:40:00,0.4
2021-09-07T12:16:00,1,31.7,78,2021-09-07T14:59:00,0.5
2021-09-07T12:22:00,1,31.3,72,2021-09-07T15:26:00,0.5
2021-09-07T12:30:00,1,31.6,75,2021-09-07T16:00:00,0.3
2021-09-08T09:10:00,1,28,65,2021-09-08T11:20:00,0.7
2021-09-08T09:16:00,1,27.1,65,2021-09-08T11:56:00,0.7
2021-09-08T09:21:00,1,27.4,68,2021-09-08T12:06:00,0.4
2021-09-08T09:26:00,1,27.4,63,2021-09-08T12:21:00,0.5
2021-09-08T09:30:00,1,30.8,72,2021-09-08T12:29:00,0.5
2021-09-08T12:31:00,1,31,74,2021-09-08T14:35:00,0.8
2021-09-08T12:38:00,1,30.6,89,2021-09-08T14:48:00,0.6
2021-09-08T12:46:00,1,30.3,80,2021-09-08T15:10:00,0.4
2021-09-08T12:50:00,1,30.3,89,2021-09-08T15:24:00,0.4
2021-09-08T12:55:00,1,30.4,89,2021-09-08T15:37:00,0.3
2021-09-09T09:06:00,1,32.3,392,2021-09-09T11:05:00,0.5
2021-09-09T09:13:00,1,32.2,324,2021-09-09T11:15:00,0.6
2021-09-09T09:18:00,1,31.9,320,2021-09-09T11:28:00,0.6
2021-09-09T09:23:00,1,31.3,319,2021-09-09T12:02:00,0.4
2021-09-09T09:30:00,1,32.4,325,2021-09-09T12:22:00,0.5
2021-09-09T12:31:00,1,32.4,330,2021-09-09T14:31:00,0.7
2021-09-09T12:37:00,1,32.6,327,2021-09-09T15:09:00,0.4
2021-09-09T12:44:00,1,34,334,2021-09-09T15:20:00,0.6
2021-09-09T12:49:00,1,32.3,325,2021-09-09T15:44:00,0.5
2021-09-09T13:00:00,1,34.6,110,2021-09-09T16:00:00,0.4
2021-09-10T09:01:00,1,27.8,100,2021-09-10T11:34:00,0.4
2021-09-10T09:09:00,1,27.8,120,2021-09-10T11:39:00,0.4
2021-09-10T09:14:00,1,27.1,120,2021-09-10T11:46:00,0.8
2021-09-10T09:20:00,1,27.1,96,2021-09-10T12:24:00,0.8
2021-09-10T09:30:00,1,27.3,104,2021-09-10T12:30:00,0.5
2021-09-10T12:34:00,1,27.4,104,2021-09-10T14:37:00,0.6
2021-09-10T12:39:00,1,29.1,105,2021-09-10T14:51:00,0.4
2021-09-10T12:47:00,1,28.9,90,2021-09-10T15:19:00,0.3
2021-09-10T12:56:00,1,28.8,101,2021-09-10T15:37:00,0.5
2021-09-10T13:00:00,1,28.2,103,2021-09-10T15:50:00,0.8
2021-09-11T09:00:00,1,27.7,242,2021-09-11T11:00:00,0.7
2021-09-11T09:07:00,1,28.1,328,2021-09-11T11:12:00,0.4
2021-09-11T09:16:00,1,28.1,334,2021-09-11T11:35:00,0.5
2021-09-11T09:23:00,1,28,333,2021-09-11T12:26:00,0.5
2021-09-11T09:30:00,1,28.3,330,2021-09-11T12:30:00,0.5
2021-09-11T12:39:00,1,26.7,196,2021-09-11T14:31:00,0.6
2021-09-11T12:46:00,1,27.5,339,2021-09-11T15:02:00,0.6
2021-09-11T12:50:00,1,28.1,326,2021-09-11T15:18:00,0.4
2021-09-11T12:53:00,1,29,332,2021-09-11T15:35:00,0.3
2021-09-11T13:00:00,1,25.6,99,2021-09-11T15:50:00,0.3
2021-09-12T09:04:00,1,27.9,289,2021-09-12T11:00:00,0.6
2021-09-12T09:12:00,1,29.2,291,2021-09-12T11:12:00,0.8
2021-09-12T09:17:00,1,29.4,264,2021-09-12T11:21:00,0.4
2021-09-12T09:21:00,1,28.7,263,2021-09-12T12:28:00,0.6
2021-09-12T09:30:00,1,29.7,280,2021-09-12T12:33:00,0.4
2021-09-12T12:30:00,1,29.3,269,2021-09-12T14:31:00,0.5
2021-09-12T12:36:00,1,28.3,265,2021-09-12T14:42:00,0.5
2021-09-12T12:42:00,1,30.8,299,2021-09-12T15:28:00,0.3
2021-09-12T12:48:00,1,32.1,263,2021-09-12T15:51:00,0.4
2021-09-12T13:00:00,1,32.9,267,2021-09-12T16:01:00,0.3
2021-09-13T09:01:00,1,25.6,482,2021-09-13T11:03:00,0.7
2021-09-13T09:08:00,1,26.1,475,2021-09-13T11:13:00,0.7
2021-09-13T09:14:00,1,26.2,478,2021-09-13T11:24:00,0.4
2021-09-13T09:21:00,1,25,472,2021-09-13T11:36:00,0.5
2021-09-13T09:30:00,1,25.5,482,2021-09-13T12:27:00,0.4
2021-09-13T12:31:00,1,27,491,2021-09-13T14:35:00,0.3
2021-09-13T12:38:00,1,26,480,2021-09-13T14:53:00,0.3
2021-09-13T12:47:00,1,26.1,474,2021-09-13T15:16:00,0.4
2021-09-13T12:55:00,1,26.5,477,2021-09-13T15:38:00,0.4
2021-09-13T13:00:00,1,26.4,474,2021-09-13T16:00:00,0.4
2021-09-14T09:04:00,1,30.7,492,2021-09-14T11:08:00,0.5
2021-09-14T09:14:00,1,26.6,489,2021-09-14T11:16:00,0.3
2021-09-14T09:20:00,1,26.3,483,2021-09-14T11:28:00,0.3
2021-09-14T09:26:00,1,27.2,484,2021-09-14T12:05:00,0.5
2021-09-14T09:29:00,1,27.1,480,2021-09-14T12:30:00,0.4
2021-09-14T12:30:00,1,28.1,483,2021-09-14T14:30:00,0.4
2021-09-14T12:36:00,1,31.8,481,2021-09-14T14:55:00,0.5
2021-09-14T12:43:00,1,28.2,487,2021-09-14T15:29:00,0.6
2021-09-14T12:50:00,1,31.5,435,2021-09-14T15:45:00,0.6
2021-09-14T13:00:00,1,33.3,488,2021-09-14T16:00:00,0.5
2021-09-15T09:00:00,1,29.7,490,2021-09-15T11:00:00,0.7
2021-09-15T09:11:00,1,31.7,339,2021-09-15T11:16:00,0.5
2021-09-15T09:18:00,1,30,400,2021-09-15T11:24:00,0.7
2021-09-15T09:24:00,1,30.2,335,2021-09-15T12:00:00,0.5
2021-09-15T09:30:00,1,30.9,336,2021-09-15T12:30:00,0.5
2021-09-15T12:30:00,1,34.7,337,2021-09-15T14:32:00,0.4
2021-09-15T12:39:00,1,29.6,332,2021-09-15T14:44:00,0.6
2021-09-15T12:42:00,1,34,334,2021-09-15T15:16:00,0.4
2021-09-15T12:53:00,1,34.2,338,2021-09-15T15:39:00,0.4
2021-09-15T13:00:00,1,34.4,340,2021-09-15T16:00:00,0.4
2021-09-16T09:00:00,1,25.6,479,2021-09-16T11:00:00,0.8
2021-09-16T09:09:00,1,25.9,483,2021-09-16T11:14:00,0.7
2021-09-16T09:17:00,1,26.3,487,2021-09-16T11:36:00,0.8
2021-09-16T09:25:00,1,26.8,494,2021-09-16T11:48:00,0.8
2021-09-16T09:30:00,1,27.3,488,2021-09-16T12:30:00,0.7
2021-09-16T12:30:00,1,28.1,486,2021-09-16T14:30:00,0.4
2021-09-16T12:39:00,1,28.6,491,2021-09-16T14:44:00,0.3
2021-09-16T12:45:00,1,28.5,489,2021-09-16T14:58:00,0.4
2021-09-16T12:51:00,1,28.6,493,2021-09-16T15:30:00,0.3
2021-09-16T13:00:00,1,28.7,494,2021-09-16T15:48:00,0.3
2021-09-17T09:00:00,1,26.4,496,2021-09-17T11:00:00,0.6
2021-09-17T09:07:00,1,26.9,482,2021-09-17T11:13:00,0.6
2021-09-17T09:16:00,1,27.3,474,2021-09-17T11:23:00,0.7
2021-09-17T09:22:00,1,27.4,472,2021-09-17T11:46:00,0.9
2021-09-17T09:30:00,1,27.9,481,2021-09-17T12:28:00,0.5
2021-09-17T12:31:00,1,30.1,479,2021-09-17T14:32:00,0.5
2021-09-17T12:38:00,1,30.4,483,2021-09-17T15:04:00,0.3
2021-09-17T12:44:00,1,30.4,485,2021-09-17T15:24:00,0.4
2021-09-17T12:50:00,1,29.6,480,2021-09-17T15:44:00,0.3
2021-09-17T13:00:00,1,29.7,486,2021-09-17T16:00:00,0.3
